SOC1_SC1,SOC1_G1
0.418,9866.3506
0.3483,9967.409
0.1867,8018.8033
0.3929,10664.9391
0.3856,9694.1004
0.5268,8992.6667
0.3181,7753.8244
0.3849,9749.6306
0.4141,11473.8929
0.3837,9555.3123
0.3431,8771.9416
0.3771,10204.5243
0.3882,10693.1937
0.3572,13491.2835
0.3738,10833.8091
0.3754,10916.551
0.3551,10428.4139
0.3545,9225.8372
0.3517,9086.7026
0.3611,10223.7443
0.4123,9151.2778
0.3748,9765.4163
0.3786,9918.103
0.3645,10028.1423
0.3701,10384.4426
0.3775,9151.8036
0.3702,13556.2642
0.319,8900.8805
0.3558,10075.8657
0.33,10062.9465
0.3601,9468.0553
0.4221,10208.3852
0.3695,10379.4158
0.3438,11591.0468
0.3727,11069.4943
0.3521,9516.6659
0.3471,10170.3594
0.2773,7070.8668
0.3595,10167.0095
0.3589,9802.5866
0.3464,9765.4305
0.4293,11059.3333
0.3491,9092.7787
0.3262,9315.1049
0.3755,10507.7917
0.3439,9549.7121
0.3513,9656.1468
0.4152,11548.939
0.4065,10009.214
0.3552,9226.4421
0.4293,9451.0847
0.3837,10990.5462
0.374,10580.4534
0.3777,8006.053
0.3842,9747.3805
0.3505,9556.8966
0.3544,8627.616
0.3447,9692.6768
0.3998,10095.9861
0.3201,10044.7878
0.3192,9340.9475
0.3404,9412.8889
0.3161,9484.7364
0.4306,11081.7788
0.3685,10278.0387
0.4238,10481.2037
0.3284,10134.3175
0.3766,9262.2182
0.4185,10468.2475
0.4037,9925.8814
0.3703,11123.1159
0.338,10162.4977
0.3263,8910.1333
0.3462,8540.4883
0.3692,10228.5065
0.3594,9995.939
0.3832,9478.892
0.319,8822.9658
0.2892,10562.0264
0.3357,8466.6646
0.3326,10277.6739
0.3522,10447.8269
0.3556,9285.6268
0.3552,9955.2996
0.3448,9113.2626
0.3554,10072.9426
0.339,10957.4917
0.373,10569.854
0.3324,10352.9299
0.3706,9932.7691
0.3296,9845.4104
0.3101,9683.6708
0.3713,10942.3417
0.3647,9971.0929
0.3693,10463.9154
0.357,9796.8732
0.4019,10525.7485
0.337,10033.2886
0.3622,10342.5814
0.3365,11154.3221
0.3586,8652.3099
0.3335,9684.8812
0.3323,9803.4493
0.3127,8881.8748
0.3389,9138.9208
0.3839,10365.3625
0.3466,10128.4189
0.3594,10369.0458
0.3429,10669.436
0.3835,10061.3145
0.3488,8907.8987
0.3498,10750.3499
0.3683,9209.0635
0.466,9627.0776
0.3105,9599.1232
0.3683,10264.2838
0.3861,10600.8932
0.3628,10746.6026
0.3493,9882.3459
0.3842,10743.3119
0.3644,11359.9195
0.3989,10580.8356
0.3375,9576.9961
0.3821,9672.1039
0.3207,8894.3925
0.3508,9725.0738
0.3456,8720.2147
0.3436,8975.3533
0.3413,9493.6167
0.3355,9403.9207
0.4308,9374.3472
0.3539,9540.9258
0.4082,9023.3178
0.3897,9998.085
0.3097,11030.9624
0.3906,9854.4037
0.3551,9789.0876
0.3801,9368.7397
0.3736,9528.566
0.3506,9098.2903
0.378,8903.4903
0.3436,9617.2558
0.3675,9799.0194
0.3389,9729.1032
0.4164,9977.4873
0.3092,11195.0244
0.3653,10713.8734
0.3758,9390.3165
0.3413,9906.6996
0.3265,9684.2727
0.3591,9958.7778
0.4102,9168.7931
0.3942,9764.8374
0.411,10734.6175
0.333,9934.7828
0.3611,9226.2175
0.3601,10471.7432
0.3054,9354.7391
0.3533,9822.7697
0.3376,10975.1207
0.3781,10597.3055
0.3939,11396.6995
0.3695,8974.4772
0.3747,9362.3869
0.359,9435.5571
0.4241,10297.2222
0.3125,9534.473
0.3215,10498.5456
0.366,10594.7939
0.3671,10750.856
0.2994,9410.9152
0.3262,9176.2572
0.3341,9739.4553
0.4028,9926.1457
0.365,10551.4457
0.3961,11012.0789
0.4011,10465.4571
0.3292,9859.0146
0.3696,9735.9221
0.3269,11283.1723
0.3528,10161.5798
0.3655,9429.7444
0.4121,7601.5286
0.4017,10123.4193
0.4045,11087.0435
0.3354,8961.756
0.3788,10320.4003
0.3471,10012.5466
0.3322,9430.74
0.3371,10381.434
0.3762,10715.1187
0.375,10885.3269
0.431,10203.565
0.3526,10597.6185
0.3725,10563.8276
0.3393,10484.3791
0.3912,13838.1176
0.3351,9467.79
0.366,9413.2979
0.3398,9392.5697
0.3739,9088.7805
0.3062,10224.6556
0.3895,9353.6702
0.3269,8105.2034
0.3673,9229.1737
0.3557,9273.9977
0.3776,9694.0764
0.4148,8392.7584
0.4845,10074.9576
0.441,10648.4405
0.3549,11566.7187
0.3779,9196.0994
0.3702,10585.7371
0.3619,11156.4911
0.3511,10671.7104
0.3664,9752.9024
0.3504,9094.9693
0.3573,11772.0453
0.4003,9479.7178
0.4144,10689.233
0.3861,9182.4816
0.339,10790.9014
0.3636,9661.388
0.3859,10821.1596
0.2625,10114.2626
0.3474,9494.0136
0.355,9520.3114
0.3675,9011.6658
0.3339,10928.7421
0.3501,9923.3962
0.3506,9912.8557
0.2994,8308.2691
0.3903,9371.8741
0.3473,9669.9304
0.3681,11523.3005
0.2792,10381.8693
0.3117,10032.0346
0.3339,10682.6296
0.3697,10875.3503
0.3429,9198.4299
0.3794,10398.5348
0.4272,9294.0132
0.3758,10293.4932
0.4003,10090.7978
0.4264,12801.3333
0.3702,10752.2259
0.3583,10117.119
0.3596,10033.1152
0.3689,11039.925
0.361,9041.1801
0.3225,10019.8734
0.2958,9197.8066
0.2748,8989.7532
0.3385,10232.2042
0.3127,10746.9655
0.3198,10253.5571
0.3841,10898.7139
0.3408,9724.4335
0.3893,9234.7357
0.3768,10164.9396
0.4048,9634.152
0.3479,9079.0712
0.3508,10040.3048
0.3566,9369.2941
0.3665,10222.1805
0.3774,9927.3996
0.4256,10021.907
0.3574,10359.7523
0.3679,10268.5364
0.3742,10204.9096
0.3191,10887.2984
0.3355,11216.0277
0.3601,9421.5725
0.3435,9633.3119
0.3558,10367.6672
0.3213,9617.1003
0.3895,11276.4043
0.3919,10246.6834
0.3622,9900.3442
0.3356,9893.8687
0.3755,10343.8798
0.3407,9244.593
0.3105,8943.6275
0.381,11027.3364
0.3948,10229.0781
0.3698,10241.2882
0.4208,10159.5033
0.333,10298.6783
0.371,10500.6586
0.3881,10804.0682
0.3526,10171.2108
0.3528,10250.5866
0.394,10843.3637
0.3456,9899.4238
0.2869,8900.4825
0.3413,10216.8759
0.3794,11092.8742
0.3427,10679.2041
0.3818,11163.0095
0.3313,10762.974
