PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.168,0.123,0.71,0.194,0.471,0.394,0.032,0.084,0.123,0.168,0.71,0.465,0.245,0.355,0.09,0.045,0.49,0.271,0.239,0.432,0.323,0.213,0.226,0.471,0.529,0.361,-0.401,-0.387,-0.25,0.011
0.149,0.128,0.723,0.164,0.5,0.42,0.033,0.08,0.128,0.149,0.723,0.458,0.241,0.339,0.11,0.042,0.417,0.28,0.304,0.438,0.342,0.223,0.217,0.47,0.53,0.086,-0.561,-0.365,-0.488,0.059
0.032,0.032,0.935,0.145,0.774,0.629,0.032,0.129,0.032,0.032,0.935,0.726,0.081,0.226,0.081,0.032,0.387,0.403,0.21,0.71,0.145,0.161,0.226,0.5,0.5,-1.522,-0.97,-0.439,-0.392,0.245
0.122,0.157,0.721,0.16,0.517,0.425,0.041,0.08,0.157,0.122,0.721,0.506,0.207,0.359,0.102,0.047,0.42,0.298,0.282,0.45,0.323,0.235,0.221,0.503,0.497,0.128,-0.575,-0.187,-0.506,0.105
0.156,0.104,0.741,0.189,0.511,0.437,0.056,0.096,0.104,0.156,0.741,0.515,0.252,0.296,0.089,0.033,0.459,0.293,0.248,0.444,0.285,0.252,0.222,0.522,0.478,0.113,-0.383,-0.298,-0.213,0.142
0.37,0.0,0.63,0.174,0.413,0.326,0.022,0.043,0.0,0.37,0.63,0.413,0.435,0.239,0.13,0.043,0.63,0.174,0.196,0.348,0.217,0.217,0.239,0.435,0.565,0.926,-0.076,-1.12,0.38,0.115
0.165,0.145,0.69,0.207,0.465,0.388,0.109,0.058,0.145,0.165,0.69,0.5,0.292,0.365,0.118,0.039,0.527,0.213,0.26,0.325,0.429,0.293,0.199,0.485,0.515,0.401,-0.289,-0.313,-0.332,0.35
0.164,0.153,0.683,0.143,0.5,0.415,0.028,0.089,0.153,0.164,0.683,0.484,0.232,0.34,0.11,0.023,0.458,0.284,0.258,0.458,0.317,0.192,0.207,0.469,0.531,0.138,-0.486,-0.449,-0.477,0.103
0.147,0.142,0.711,0.173,0.489,0.409,0.031,0.107,0.142,0.147,0.711,0.44,0.227,0.32,0.08,0.053,0.382,0.307,0.311,0.431,0.302,0.24,0.196,0.471,0.529,0.037,-0.367,-0.274,-0.406,0.0
0.156,0.165,0.68,0.102,0.56,0.509,0.027,0.075,0.165,0.156,0.68,0.512,0.201,0.305,0.054,0.009,0.53,0.254,0.216,0.524,0.281,0.138,0.246,0.473,0.527,0.091,-0.593,-0.503,-0.455,0.248
0.148,0.123,0.729,0.245,0.432,0.374,0.045,0.097,0.123,0.148,0.729,0.432,0.245,0.394,0.135,0.032,0.458,0.252,0.29,0.394,0.329,0.277,0.226,0.465,0.535,0.314,-0.424,-0.267,-0.452,0.033
0.163,0.115,0.721,0.154,0.51,0.404,0.038,0.087,0.115,0.163,0.721,0.481,0.26,0.308,0.077,0.048,0.462,0.298,0.24,0.442,0.365,0.221,0.163,0.385,0.615,-0.132,-0.408,-0.387,-0.338,0.062
0.158,0.143,0.698,0.173,0.473,0.42,0.033,0.085,0.143,0.158,0.698,0.46,0.243,0.328,0.097,0.028,0.427,0.305,0.268,0.438,0.342,0.203,0.187,0.455,0.545,0.09,-0.461,-0.452,-0.516,0.055
0.144,0.118,0.738,0.215,0.497,0.451,0.097,0.072,0.118,0.144,0.738,0.564,0.267,0.267,0.072,0.103,0.436,0.313,0.251,0.472,0.318,0.251,0.282,0.574,0.426,0.146,-0.592,0.06,-0.256,0.034
0.162,0.135,0.703,0.144,0.468,0.414,0.027,0.054,0.135,0.162,0.703,0.459,0.279,0.288,0.072,0.054,0.441,0.288,0.27,0.441,0.396,0.171,0.198,0.468,0.532,0.209,-0.495,-0.362,-0.474,-0.024
0.112,0.123,0.765,0.207,0.479,0.386,0.052,0.118,0.123,0.112,0.765,0.487,0.243,0.348,0.12,0.039,0.338,0.325,0.337,0.416,0.356,0.26,0.23,0.585,0.415,0.248,-0.414,-0.035,-0.42,-0.004
0.139,0.127,0.735,0.255,0.426,0.352,0.051,0.09,0.127,0.139,0.735,0.466,0.242,0.364,0.157,0.037,0.412,0.282,0.305,0.382,0.344,0.276,0.212,0.481,0.519,0.195,-0.277,-0.207,-0.498,0.137
0.147,0.121,0.732,0.157,0.541,0.472,0.039,0.085,0.121,0.147,0.732,0.477,0.219,0.34,0.08,0.031,0.472,0.265,0.263,0.477,0.302,0.219,0.247,0.482,0.518,0.086,-0.662,-0.369,-0.383,0.13
0.165,0.108,0.727,0.177,0.49,0.425,0.056,0.056,0.108,0.165,0.727,0.431,0.281,0.385,0.13,0.017,0.425,0.214,0.361,0.417,0.352,0.234,0.295,0.595,0.405,0.678,-0.615,-0.237,-0.365,0.191
0.123,0.107,0.77,0.207,0.496,0.407,0.05,0.102,0.107,0.123,0.77,0.485,0.241,0.346,0.117,0.039,0.412,0.277,0.311,0.432,0.314,0.255,0.244,0.536,0.464,0.194,-0.425,-0.167,-0.352,0.045
0.22,0.094,0.685,0.118,0.528,0.504,0.016,0.031,0.094,0.22,0.685,0.48,0.276,0.283,0.079,0.008,0.543,0.228,0.228,0.504,0.228,0.157,0.299,0.551,0.449,0.578,-0.702,-0.639,-0.207,0.238
0.176,0.138,0.686,0.181,0.452,0.386,0.024,0.105,0.138,0.176,0.686,0.462,0.252,0.3,0.1,0.024,0.467,0.3,0.233,0.405,0.352,0.233,0.152,0.424,0.576,-0.007,-0.292,-0.487,-0.418,0.083
0.136,0.121,0.743,0.175,0.514,0.447,0.027,0.066,0.121,0.136,0.743,0.514,0.218,0.353,0.127,0.033,0.387,0.32,0.293,0.471,0.299,0.221,0.251,0.592,0.408,0.266,-0.772,-0.298,-0.477,0.09
0.142,0.117,0.741,0.153,0.561,0.479,0.047,0.071,0.117,0.142,0.741,0.537,0.217,0.33,0.102,0.035,0.477,0.248,0.275,0.494,0.26,0.233,0.27,0.536,0.464,0.096,-0.634,-0.24,-0.284,0.238
0.142,0.125,0.733,0.208,0.478,0.398,0.066,0.101,0.125,0.142,0.733,0.462,0.255,0.36,0.124,0.041,0.388,0.278,0.335,0.404,0.318,0.294,0.238,0.526,0.474,0.254,-0.395,-0.098,-0.339,0.084
0.16,0.142,0.697,0.202,0.466,0.421,0.053,0.077,0.142,0.16,0.697,0.463,0.243,0.35,0.086,0.015,0.519,0.231,0.249,0.415,0.338,0.228,0.178,0.427,0.573,0.152,-0.284,-0.413,-0.412,0.241
0.093,0.241,0.667,0.167,0.481,0.389,0.093,0.111,0.241,0.093,0.667,0.481,0.204,0.389,0.056,0.093,0.315,0.315,0.37,0.444,0.444,0.204,0.259,0.556,0.444,0.337,-0.392,0.407,-0.56,0.007
0.138,0.141,0.721,0.215,0.45,0.387,0.079,0.057,0.141,0.138,0.721,0.481,0.273,0.371,0.141,0.04,0.431,0.253,0.316,0.349,0.402,0.292,0.193,0.521,0.479,0.314,-0.416,-0.242,-0.502,0.182
0.143,0.106,0.751,0.21,0.508,0.439,0.051,0.062,0.106,0.143,0.751,0.508,0.226,0.344,0.111,0.044,0.497,0.242,0.261,0.446,0.298,0.236,0.236,0.501,0.499,0.128,-0.53,-0.367,-0.366,0.206
0.15,0.147,0.702,0.216,0.445,0.364,0.066,0.075,0.147,0.15,0.702,0.461,0.257,0.354,0.154,0.041,0.448,0.235,0.317,0.364,0.342,0.295,0.204,0.47,0.53,0.182,-0.226,-0.235,-0.453,0.206
0.144,0.156,0.7,0.158,0.495,0.406,0.061,0.097,0.156,0.144,0.7,0.481,0.252,0.341,0.083,0.034,0.464,0.276,0.26,0.428,0.341,0.211,0.178,0.44,0.56,0.117,-0.271,-0.359,-0.42,0.061
0.167,0.194,0.64,0.143,0.469,0.376,0.027,0.112,0.194,0.167,0.64,0.442,0.221,0.337,0.07,0.043,0.488,0.291,0.221,0.399,0.36,0.209,0.155,0.395,0.605,0.117,-0.281,-0.472,-0.498,0.041
0.119,0.116,0.765,0.195,0.538,0.499,0.037,0.054,0.116,0.119,0.765,0.506,0.188,0.353,0.086,0.03,0.464,0.279,0.257,0.501,0.289,0.202,0.24,0.467,0.533,-0.045,-0.724,-0.393,-0.508,0.204
0.116,0.116,0.767,0.186,0.465,0.39,0.041,0.099,0.116,0.116,0.767,0.5,0.273,0.267,0.105,0.047,0.349,0.349,0.302,0.436,0.36,0.227,0.174,0.477,0.523,-0.106,-0.291,-0.149,-0.519,-0.076
0.109,0.12,0.771,0.229,0.486,0.371,0.029,0.12,0.12,0.109,0.771,0.497,0.194,0.354,0.103,0.057,0.394,0.36,0.246,0.457,0.343,0.194,0.183,0.446,0.554,-0.117,-0.401,-0.332,-0.519,-0.078
