ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.52,13.06,52.43,7.76,0.24
26.42,13.13,53.37,6.86,0.22
27.77,11.69,54.28,6.1,0.17
26.6,13.59,52.57,6.98,0.25
26.79,12.9,52.43,7.7,0.18
24.95,11.16,53.83,9.85,0.22
26.29,13.32,52.74,7.45,0.21
26.59,13.04,53.14,7.1,0.12
26.82,13.07,52.75,7.08,0.28
26.42,12.97,53.21,7.34,0.05
26.66,13.48,52.38,7.31,0.17
27.0,12.65,53.15,6.95,0.25
26.55,13.02,53.28,7.0,0.15
26.36,13.09,52.71,7.28,0.56
26.15,13.08,53.45,7.04,0.29
26.97,13.71,52.06,7.05,0.21
26.63,13.4,52.59,7.19,0.19
26.58,13.1,52.99,7.17,0.17
25.82,13.69,52.55,7.84,0.1
26.74,13.37,52.25,7.43,0.21
25.3,12.76,53.34,8.56,0.04
26.94,12.83,53.24,6.87,0.12
26.08,13.55,53.0,7.18,0.18
26.43,13.15,52.72,7.51,0.19
26.82,13.45,52.16,7.34,0.22
26.68,13.07,52.61,7.56,0.08
27.24,14.29,51.63,6.33,0.51
26.19,13.63,52.84,7.12,0.22
26.18,13.05,52.95,7.58,0.23
26.52,13.3,52.72,7.24,0.21
26.91,13.02,52.47,7.43,0.17
26.96,13.09,52.91,6.82,0.22
26.25,13.16,53.19,7.23,0.16
26.95,13.12,52.83,6.85,0.24
27.1,13.0,52.74,6.87,0.3
25.76,13.43,53.12,7.54,0.14
27.17,13.41,52.1,7.16,0.16
25.71,13.97,51.71,8.37,0.24
26.82,13.04,52.97,7.01,0.16
26.78,13.52,52.48,7.14,0.08
26.58,14.0,52.32,7.0,0.1
27.01,12.81,52.59,7.36,0.22
26.0,13.44,53.26,7.16,0.15
26.24,13.89,52.17,7.42,0.28
26.24,13.09,53.56,6.97,0.14
26.7,12.8,52.61,7.68,0.2
26.57,13.49,52.52,7.21,0.22
25.99,14.09,52.88,6.86,0.18
27.27,13.42,52.03,7.09,0.2
26.22,13.5,52.84,7.24,0.19
25.65,13.0,53.53,7.77,0.04
26.58,13.29,52.66,7.27,0.2
26.93,13.03,52.49,7.34,0.21
26.61,12.82,52.82,7.55,0.2
26.53,13.27,52.51,7.53,0.16
26.46,12.95,53.08,7.32,0.19
26.11,13.54,52.24,7.9,0.21
26.23,13.33,53.29,6.99,0.16
26.17,13.66,52.57,7.46,0.15
27.36,12.4,52.72,7.27,0.25
26.56,13.07,53.02,7.25,0.1
26.29,13.09,52.47,7.94,0.21
26.32,13.27,53.01,7.18,0.23
26.37,12.52,53.51,7.43,0.17
26.19,13.54,52.35,7.67,0.25
27.4,13.14,51.82,7.47,0.17
25.77,13.14,52.88,7.94,0.26
26.69,12.96,53.13,6.96,0.26
26.79,13.48,52.19,7.38,0.16
26.7,12.82,52.99,7.42,0.07
26.78,13.12,52.94,6.93,0.23
26.8,14.06,52.11,7.01,0.03
27.44,12.84,52.54,6.98,0.2
26.05,13.55,52.72,7.51,0.16
27.18,13.25,52.39,7.05,0.14
26.18,13.17,53.27,7.19,0.19
26.42,13.01,53.35,7.1,0.12
26.12,13.34,52.71,7.55,0.28
26.84,13.93,51.82,7.15,0.27
26.21,14.27,51.91,7.48,0.12
27.09,13.53,52.15,6.96,0.27
26.71,14.45,51.99,6.71,0.14
26.43,12.9,52.95,7.62,0.1
26.31,13.8,52.22,7.49,0.18
25.94,13.75,53.22,7.02,0.07
26.58,13.16,52.55,7.51,0.21
27.29,13.47,51.84,7.16,0.24
26.67,13.0,52.55,7.58,0.21
26.07,13.44,52.84,7.31,0.35
26.55,12.84,53.0,7.41,0.2
26.22,13.4,53.07,7.09,0.23
26.81,13.44,52.24,7.37,0.14
26.82,13.48,52.04,7.44,0.22
27.21,12.94,52.44,7.16,0.24
26.71,13.33,52.51,7.19,0.27
26.28,13.7,52.61,7.21,0.2
26.9,13.39,52.45,7.07,0.19
26.96,13.92,52.11,6.95,0.07
26.87,13.29,52.7,6.88,0.27
26.52,14.9,51.25,6.99,0.34
26.19,13.13,53.19,7.31,0.17
27.0,12.7,52.82,7.21,0.27
26.33,13.26,53.47,6.76,0.19
27.88,12.33,52.89,6.74,0.16
26.73,13.3,53.06,6.79,0.12
26.93,13.51,52.32,7.09,0.15
26.66,13.95,51.92,7.22,0.25
26.58,13.34,52.66,7.12,0.3
26.19,13.31,52.78,7.37,0.35
26.76,13.08,52.77,7.23,0.16
25.98,14.17,52.63,6.91,0.32
26.61,13.44,52.37,7.29,0.28
27.31,12.95,52.42,7.11,0.22
25.45,12.52,53.85,7.96,0.22
26.57,13.25,52.27,7.65,0.26
26.69,13.26,52.73,7.14,0.18
26.99,13.04,52.66,7.12,0.19
25.91,14.15,52.12,7.64,0.19
26.01,13.55,52.81,7.24,0.39
26.18,13.25,53.0,7.25,0.33
26.34,13.2,52.86,7.28,0.33
26.78,12.82,52.78,7.51,0.11
26.66,13.44,53.11,6.68,0.1
26.15,13.16,53.04,7.5,0.16
26.23,13.73,52.75,7.2,0.08
26.77,13.18,52.77,7.1,0.18
25.65,13.52,53.27,7.25,0.31
26.46,13.83,52.35,7.22,0.13
26.05,13.66,52.97,7.16,0.16
26.18,13.48,52.73,7.45,0.15
26.37,12.07,53.46,7.83,0.28
28.11,13.21,51.62,6.92,0.14
27.05,13.74,51.86,7.2,0.14
26.37,13.17,52.87,7.39,0.19
26.19,13.64,52.46,7.28,0.42
26.27,13.58,53.01,7.01,0.14
26.83,12.96,52.86,7.24,0.12
26.55,12.65,53.14,7.43,0.22
26.41,13.78,52.1,7.38,0.33
26.29,13.52,52.52,7.51,0.15
26.49,13.49,52.16,7.72,0.15
26.66,12.62,53.49,7.08,0.15
26.7,13.17,52.84,7.05,0.24
26.36,13.65,52.67,6.99,0.33
26.89,12.78,53.11,7.1,0.13
25.35,13.69,52.47,7.83,0.66
26.78,13.25,52.64,7.18,0.14
26.04,13.33,53.71,6.78,0.14
26.1,13.09,53.1,7.56,0.15
26.55,13.42,52.66,7.05,0.33
26.48,13.41,52.74,7.22,0.15
25.53,13.06,53.3,8.07,0.04
26.78,12.97,53.2,6.97,0.07
26.73,13.21,52.54,7.27,0.25
26.08,13.53,53.08,7.07,0.25
26.71,12.98,52.44,7.76,0.11
26.34,12.91,53.4,7.11,0.24
26.59,13.44,52.53,7.22,0.21
26.02,13.42,53.39,6.93,0.24
25.97,13.83,52.22,7.59,0.39
26.85,13.1,52.45,7.43,0.19
27.25,13.09,52.75,6.76,0.14
26.15,13.31,53.13,7.22,0.19
26.23,13.87,52.55,7.21,0.14
26.1,13.23,52.56,7.87,0.24
25.32,12.37,53.94,8.19,0.18
26.1,13.17,53.37,7.21,0.14
26.81,13.24,52.76,6.91,0.28
27.18,12.65,52.62,7.26,0.29
26.43,13.23,52.92,7.2,0.22
26.61,13.37,52.33,7.47,0.21
26.21,13.42,52.82,7.39,0.16
26.39,13.26,53.08,6.93,0.34
26.74,13.67,52.05,7.41,0.13
27.58,12.75,52.32,7.16,0.2
27.08,13.31,52.69,6.75,0.17
26.84,13.04,52.38,7.41,0.34
26.11,13.3,52.93,7.38,0.27
25.75,13.27,53.11,7.53,0.34
26.52,13.1,52.64,7.45,0.28
25.91,14.0,52.78,7.12,0.19
26.14,13.49,52.33,7.79,0.25
25.84,11.77,53.48,8.77,0.14
26.61,13.14,52.56,7.52,0.16
26.6,13.08,52.7,7.42,0.2
26.11,13.28,52.79,7.65,0.17
27.32,13.12,52.25,7.16,0.14
26.47,14.17,52.04,7.07,0.25
25.73,13.66,52.85,7.66,0.09
26.75,13.2,52.76,7.07,0.22
26.66,12.89,52.63,7.59,0.24
26.88,13.05,52.59,7.25,0.23
26.25,12.61,53.45,7.55,0.15
26.19,13.2,53.17,7.06,0.38
26.75,13.35,52.39,7.26,0.26
26.88,13.59,52.58,6.75,0.19
27.04,14.57,51.43,6.4,0.55
26.27,13.36,52.87,7.19,0.3
26.57,13.11,52.32,7.93,0.06
27.17,13.98,51.95,6.63,0.26
25.82,13.09,53.55,7.31,0.23
26.43,14.29,51.93,7.17,0.18
26.94,13.27,52.47,7.11,0.22
26.99,12.74,53.07,7.04,0.17
26.63,13.38,52.16,7.74,0.08
26.05,13.46,53.0,7.39,0.1
26.62,12.89,53.56,6.75,0.18
25.91,12.64,53.66,7.64,0.14
25.31,12.32,53.83,8.36,0.18
26.42,13.88,52.14,7.36,0.19
26.74,12.96,52.67,7.26,0.36
26.73,13.21,52.2,7.77,0.09
26.23,13.03,53.17,7.2,0.36
26.71,13.59,52.29,7.14,0.26
26.51,13.44,52.45,7.34,0.25
26.58,12.77,52.93,7.55,0.17
26.01,13.5,52.62,7.74,0.13
26.55,13.36,52.45,7.2,0.44
25.76,13.72,52.88,7.37,0.27
26.54,13.05,52.9,7.28,0.23
25.96,13.47,52.94,7.53,0.1
26.28,13.25,52.59,7.56,0.32
26.17,13.56,52.56,7.55,0.15
26.66,13.06,52.6,7.41,0.27
26.52,14.09,52.15,7.08,0.16
26.47,13.34,52.58,7.41,0.21
25.97,13.38,53.31,7.15,0.19
25.68,13.24,52.87,7.97,0.24
25.93,13.26,52.93,7.47,0.41
26.48,13.34,52.87,7.1,0.2
26.15,14.53,52.19,6.8,0.33
26.91,13.1,52.46,7.5,0.02
26.54,12.77,53.59,6.95,0.16
25.69,14.27,53.14,6.83,0.07
26.37,13.16,52.51,7.67,0.3
26.9,14.11,51.61,7.13,0.25
26.14,13.91,52.06,7.65,0.23
26.35,13.69,51.94,7.68,0.35
26.2,13.5,52.36,7.59,0.35
25.67,13.71,53.15,7.28,0.2
27.53,12.95,52.24,7.13,0.15
26.85,12.66,52.89,7.46,0.14
26.84,12.93,52.58,7.49,0.16
26.82,13.08,52.39,7.6,0.12
25.93,12.6,53.32,7.55,0.61
27.11,13.66,52.06,6.92,0.25
26.65,12.99,53.2,6.94,0.21
26.17,14.0,52.64,7.09,0.09
26.18,13.1,53.16,7.31,0.25
26.24,13.35,52.48,7.81,0.11
26.46,13.18,52.91,7.18,0.28
26.95,12.38,53.42,6.92,0.32
28.43,12.08,52.67,6.66,0.16
26.77,13.26,52.54,7.14,0.29
26.98,13.04,52.04,7.55,0.39
26.55,13.06,52.82,7.28,0.29
26.88,13.06,52.54,7.23,0.28
26.37,13.37,52.91,7.19,0.16
26.89,13.15,52.3,7.48,0.17
26.64,13.16,52.54,7.48,0.17
26.27,13.55,52.56,7.42,0.21
26.14,13.08,53.91,6.75,0.11
26.78,13.08,52.76,7.2,0.18
27.02,13.15,52.47,7.14,0.22
27.23,13.16,52.22,7.29,0.1
26.66,13.23,53.05,6.97,0.08
27.0,12.74,52.97,7.19,0.1
25.98,13.48,53.19,7.11,0.24
26.92,13.39,52.71,6.81,0.18
26.18,13.17,52.82,7.6,0.22
26.62,12.77,53.38,6.95,0.27
26.96,13.11,52.75,6.87,0.3
27.4,13.33,52.41,6.73,0.13
25.96,13.31,53.13,7.45,0.15
27.39,13.01,52.29,7.11,0.2
26.93,12.63,52.98,7.17,0.29
26.83,13.08,51.87,7.88,0.34
27.19,13.09,52.06,7.47,0.18
27.3,13.33,51.5,7.63,0.24
26.2,13.35,52.8,7.45,0.19
26.69,13.32,52.86,6.97,0.16
26.25,13.16,53.03,7.33,0.23
25.71,13.85,53.18,7.22,0.05
