BTC_T,BTC_H,BTC_S,BTC_D
2825,1538,2568,257
6045,3374,5542,503
1128,638,1033,95
6412,3522,5843,569
4883,2660,4434,449
872,492,803,69
19854,10919,18192,1662
7754,4306,7088,666
4124,2263,3754,370
5999,3339,5481,518
2800,1525,2546,254
1924,1066,1758,166
11057,6142,10122,935
3598,1952,3291,307
2036,1135,1870,166
20282,10969,18372,1910
16951,9277,15458,1493
6864,3799,6263,601
9814,5409,8959,855
18048,9805,16377,1671
2218,1244,2033,185
3915,2172,3577,338
5747,3191,5257,490
9622,5298,8772,850
11842,6416,10750,1092
6211,3402,5656,555
983,522,891,92
9757,5383,8945,812
7792,4306,7127,665
5864,3221,5361,503
9398,5123,8545,853
4805,2650,4380,425
7226,4016,6615,611
3193,1752,2911,282
3267,1788,2972,295
7287,4063,6672,615
8842,4781,7994,848
9165,4940,8338,827
3710,2051,3383,327
5837,3193,5310,527
25035,13685,22755,2280
3905,2131,3551,354
8952,5001,8207,745
4511,2465,4091,420
1349,755,1239,110
4746,2583,4332,414
6376,3497,5800,576
4276,2375,3917,359
3932,2122,3558,374
7448,4119,6809,639
2125,1194,1952,173
8594,4712,7834,760
7675,4180,6983,692
2340,1289,2135,205
6108,3344,5566,542
7118,3945,6507,611
6961,3792,6348,613
5247,2928,4808,439
2587,1423,2357,230
8851,4824,8041,810
5839,3234,5335,504
5911,3219,5397,514
56714,31324,51959,4755
4076,2274,3737,339
5538,3017,5039,499
3995,2148,3604,391
4446,2447,4070,376
2985,1656,2730,255
3586,1948,3249,337
14073,7779,12854,1219
6824,3759,6230,594
7297,3977,6592,705
5798,3156,5262,536
5866,3235,5362,504
7132,3879,6473,659
16590,9238,15221,1369
3156,1761,2895,261
2070,1140,1893,177
3972,2137,3591,381
14561,7904,13236,1325
2471,1333,2238,233
2803,1522,2544,259
5970,3303,5449,521
4331,2359,3938,393
6724,3759,6171,553
21661,11820,19748,1913
4336,2330,3912,424
4127,2254,3753,374
3842,2116,3513,329
11135,6133,10181,954
4637,2578,4242,395
9883,5366,8976,907
5767,3117,5216,551
11153,6062,10130,1023
9470,5171,8623,847
9877,5437,9009,868
9038,4933,8211,827
4332,2352,3927,405
6153,3375,5601,552
7646,4075,6900,746
5555,3093,5086,469
14155,7764,12889,1266
5968,3344,5480,488
14606,8008,13240,1366
4702,2601,4302,400
6912,3768,6275,637
8066,4368,7310,756
6435,3530,5864,571
8267,4542,7570,697
15620,8577,14236,1384
2774,1517,2537,237
10219,5561,9291,928
6614,3599,6009,605
2128,1202,1965,163
4895,2655,4446,449
9566,5263,8713,853
7116,3899,6473,643
2549,1391,2319,230
2730,1506,2499,231
16613,9193,15202,1411
5372,2957,4911,461
2617,1442,2380,237
4559,2530,4170,389
4221,2344,3866,355
4525,2497,4132,393
5455,2998,4977,478
3380,1892,3109,271
15720,8585,14325,1395
4832,2687,4411,421
11545,6357,10560,985
2748,1531,2522,226
6177,3288,5534,643
2000,1081,1808,192
4507,2484,4118,389
2314,1264,2106,208
4798,2666,4386,412
3979,2192,3625,354
6015,3326,5509,506
4672,2544,4247,425
3790,2079,3454,336
6467,3506,5871,596
3971,2215,3641,330
8511,4684,7770,741
2325,1281,2122,203
11682,6465,10667,1015
1549,838,1418,131
4163,2284,3786,377
4887,2755,4500,387
8323,4613,7624,699
6711,3681,6124,587
3754,2065,3421,333
2532,1419,2323,209
9807,5437,8974,833
15346,8388,13974,1372
4217,2346,3862,355
5934,3244,5390,544
5981,3333,5486,495
9685,5289,8846,839
5573,3119,5120,453
11968,6482,10923,1045
10765,5864,9783,982
7374,4045,6707,667
5123,2851,4694,429
3496,1923,3190,306
14628,8032,13323,1305
2149,1215,1984,165
2677,1495,2458,219
79350,43482,72297,7053
8079,4400,7347,732
8967,4941,8196,771
4979,2700,4533,446
13646,7509,12525,1121
2276,1258,2085,191
10733,5817,9723,1010
3344,1810,3030,314
6257,3433,5698,559
4531,2464,4115,416
3526,1946,3224,302
5384,2999,4932,452
4838,2639,4408,430
6495,3594,5939,556
22089,12023,20159,1930
1384,771,1270,114
5825,3192,5296,529
3877,2126,3533,344
16724,9205,15321,1403
13251,7186,11997,1254
17755,9612,16132,1623
4103,2280,3742,361
