SEP_PC,SEP_NC,SEP_NE,SEP_PO,SEP_NP,SEP_AL,SEP_CY,SEP_AR,SEP_AC,SEP_BS,SEP_NE_pH,SEP_HB,SEP_HL,SEP_NT,SEP_HX,SEP_SC,SEP_SS_HE,SEP_SS_ST,SEP_SS_CO,SEP_SA_BU,SEP_SA_EX,SEP_SA_IN,SEP_TN,SEP_SM,SEP_LR
0.653,0.537,0.869,0.709,0.998,0.967,0.206,0.416,0.537,0.653,0.869,0.996,0.804,0.938,0.438,0.265,1.0,0.843,0.793,0.987,0.907,0.747,0.771,0.998,0.998
0.607,0.552,0.851,0.643,1.0,0.981,0.208,0.403,0.552,0.607,0.851,0.995,0.797,0.924,0.5,0.25,0.98,0.855,0.886,0.989,0.927,0.766,0.755,0.997,0.997
0.206,0.206,0.345,0.598,0.771,0.951,0.206,0.555,0.206,0.206,0.345,0.847,0.404,0.771,0.404,0.206,0.963,0.973,0.741,0.869,0.598,0.637,0.771,1.0,1.0
0.534,0.628,0.854,0.635,0.999,0.984,0.249,0.403,0.628,0.534,0.854,1.0,0.736,0.942,0.476,0.273,0.981,0.879,0.858,0.993,0.908,0.786,0.762,1.0,1.0
0.624,0.481,0.826,0.699,1.0,0.989,0.31,0.457,0.481,0.624,0.826,0.999,0.814,0.877,0.433,0.211,0.995,0.872,0.808,0.991,0.862,0.814,0.764,0.999,0.999
0.95,0.0,0.95,0.667,0.978,0.911,0.151,0.258,0.0,0.95,0.95,0.978,0.988,0.794,0.559,0.258,0.95,0.667,0.713,0.932,0.755,0.755,0.794,0.988,0.988
0.647,0.596,0.893,0.736,0.997,0.964,0.497,0.32,0.596,0.647,0.893,1.0,0.871,0.946,0.524,0.238,0.998,0.747,0.827,0.909,0.985,0.872,0.72,0.999,0.999
0.645,0.616,0.901,0.593,1.0,0.979,0.185,0.434,0.616,0.645,0.901,0.999,0.782,0.925,0.501,0.161,0.995,0.861,0.824,0.995,0.901,0.707,0.735,0.997,0.997
0.601,0.59,0.867,0.665,1.0,0.976,0.2,0.49,0.59,0.601,0.867,0.99,0.772,0.904,0.402,0.3,0.96,0.889,0.894,0.986,0.884,0.795,0.713,0.998,0.998
0.624,0.645,0.905,0.475,0.99,1.0,0.179,0.384,0.645,0.624,0.905,1.0,0.723,0.888,0.303,0.074,0.997,0.818,0.752,0.998,0.857,0.578,0.804,0.998,0.998
0.606,0.537,0.843,0.804,0.987,0.954,0.265,0.459,0.537,0.606,0.843,0.987,0.804,0.967,0.572,0.206,0.995,0.814,0.869,0.967,0.914,0.852,0.771,0.996,0.996
0.643,0.516,0.854,0.619,1.0,0.973,0.235,0.425,0.516,0.643,0.854,0.999,0.826,0.89,0.391,0.278,0.996,0.879,0.796,0.99,0.947,0.762,0.643,0.961,0.961
0.63,0.593,0.883,0.665,0.998,0.981,0.211,0.42,0.593,0.63,0.883,0.995,0.801,0.913,0.458,0.186,0.984,0.887,0.839,0.989,0.926,0.729,0.694,0.994,0.994
0.594,0.523,0.829,0.752,1.0,0.993,0.461,0.373,0.523,0.594,0.829,0.988,0.837,0.837,0.373,0.477,0.988,0.896,0.813,0.998,0.902,0.813,0.858,0.984,0.984
0.639,0.571,0.878,0.595,0.997,0.979,0.179,0.303,0.571,0.639,0.878,0.995,0.854,0.866,0.374,0.303,0.99,0.866,0.842,0.99,0.969,0.66,0.718,0.997,0.997
0.507,0.537,0.787,0.736,0.999,0.962,0.296,0.522,0.537,0.507,0.787,1.0,0.8,0.933,0.53,0.239,0.923,0.91,0.922,0.979,0.94,0.826,0.778,0.979,0.979
0.58,0.548,0.834,0.82,0.984,0.936,0.29,0.436,0.548,0.58,0.834,0.997,0.799,0.946,0.627,0.227,0.978,0.859,0.888,0.959,0.929,0.85,0.746,0.999,0.999
0.602,0.533,0.839,0.628,0.995,0.998,0.236,0.42,0.533,0.602,0.839,0.998,0.758,0.925,0.402,0.199,0.998,0.835,0.831,0.998,0.883,0.758,0.807,0.999,0.999
0.646,0.493,0.845,0.674,1.0,0.984,0.31,0.31,0.493,0.646,0.845,0.986,0.857,0.962,0.558,0.126,0.984,0.748,0.944,0.98,0.936,0.786,0.875,0.974,0.974
0.539,0.489,0.778,0.736,1.0,0.975,0.288,0.474,0.489,0.539,0.778,0.999,0.796,0.931,0.522,0.24,0.978,0.851,0.894,0.987,0.897,0.82,0.801,0.996,0.996
0.761,0.451,0.899,0.524,0.998,1.0,0.117,0.202,0.451,0.761,0.899,0.999,0.849,0.86,0.398,0.066,0.995,0.775,0.775,1.0,0.775,0.628,0.88,0.992,0.992
0.672,0.579,0.898,0.682,0.993,0.962,0.162,0.484,0.579,0.672,0.898,0.996,0.815,0.881,0.469,0.162,0.997,0.881,0.784,0.974,0.936,0.784,0.616,0.983,0.983
0.574,0.532,0.822,0.67,0.999,0.992,0.18,0.353,0.532,0.574,0.822,0.999,0.756,0.937,0.549,0.21,0.963,0.905,0.873,0.998,0.88,0.761,0.812,0.975,0.975
0.59,0.519,0.825,0.617,0.989,0.999,0.275,0.37,0.519,0.59,0.825,0.996,0.754,0.915,0.475,0.217,0.999,0.808,0.849,1.0,0.827,0.783,0.841,0.996,0.996
0.589,0.544,0.837,0.738,0.999,0.97,0.352,0.472,0.544,0.589,0.837,0.996,0.819,0.943,0.54,0.246,0.963,0.852,0.92,0.973,0.902,0.874,0.792,0.998,0.998
0.635,0.591,0.885,0.725,0.997,0.982,0.301,0.392,0.591,0.635,0.885,0.996,0.801,0.934,0.423,0.111,0.999,0.781,0.81,0.979,0.923,0.775,0.676,0.985,0.985
0.445,0.796,0.918,0.65,0.999,0.964,0.445,0.503,0.796,0.445,0.918,0.999,0.729,0.964,0.31,0.445,0.899,0.899,0.951,0.991,0.991,0.729,0.826,0.991,0.991
0.578,0.588,0.854,0.75,0.993,0.963,0.398,0.315,0.588,0.578,0.854,0.999,0.846,0.951,0.588,0.244,0.986,0.816,0.9,0.933,0.972,0.871,0.707,0.999,0.999
0.593,0.488,0.81,0.742,1.0,0.989,0.29,0.337,0.488,0.593,0.81,1.0,0.772,0.929,0.502,0.26,1.0,0.799,0.828,0.991,0.879,0.788,0.788,1.0,1.0
0.611,0.603,0.879,0.753,0.991,0.946,0.35,0.385,0.603,0.611,0.879,0.996,0.822,0.938,0.619,0.246,0.992,0.787,0.901,0.946,0.926,0.875,0.729,0.997,0.997
0.595,0.624,0.881,0.629,1.0,0.975,0.332,0.458,0.624,0.595,0.881,0.999,0.815,0.926,0.412,0.212,0.996,0.85,0.827,0.985,0.926,0.743,0.675,0.99,0.99
0.65,0.709,0.943,0.593,0.997,0.955,0.18,0.507,0.709,0.65,0.943,0.99,0.762,0.922,0.365,0.254,1.0,0.87,0.762,0.97,0.943,0.74,0.622,0.968,0.968
0.525,0.518,0.786,0.712,0.996,1.0,0.229,0.304,0.518,0.525,0.786,1.0,0.697,0.937,0.424,0.193,0.996,0.854,0.822,1.0,0.867,0.727,0.794,0.997,0.997
0.519,0.519,0.782,0.693,0.996,0.964,0.245,0.465,0.519,0.519,0.782,1.0,0.846,0.838,0.484,0.271,0.933,0.933,0.884,0.988,0.943,0.772,0.668,0.998,0.998
0.496,0.529,0.776,0.776,0.999,0.952,0.187,0.529,0.529,0.496,0.776,1.0,0.71,0.938,0.478,0.316,0.968,0.943,0.804,0.995,0.928,0.71,0.686,0.991,0.991
0.482,0.468,0.729,0.622,0.959,0.987,0.28,0.27,0.468,0.482,0.729,0.982,0.671,0.927,0.46,0.171,0.999,0.785,0.856,0.985,0.768,0.686,0.923,0.968,0.968
0.463,0.444,0.702,0.812,1.0,0.982,0.295,0.564,0.444,0.463,0.702,1.0,0.727,0.936,0.53,0.195,0.961,0.887,0.894,0.99,0.872,0.853,0.818,0.995,0.995
0.656,0.298,0.764,0.871,0.993,0.98,0.415,0.217,0.298,0.656,0.764,0.994,0.866,0.962,0.737,0.251,0.99,0.708,0.948,0.945,0.783,0.99,0.949,0.953,0.953
0.563,0.466,0.78,0.635,0.981,0.999,0.274,0.466,0.466,0.563,0.78,0.999,0.737,0.956,0.523,0.186,0.889,0.941,0.92,0.998,0.833,0.772,0.804,0.987,0.987
0.479,0.583,0.799,0.728,0.997,0.996,0.33,0.439,0.583,0.479,0.799,0.999,0.697,0.957,0.567,0.113,0.955,0.902,0.889,0.996,0.845,0.837,0.784,0.995,0.995
0.446,0.538,0.752,0.793,0.995,0.963,0.218,0.451,0.538,0.446,0.752,0.997,0.754,0.965,0.627,0.135,0.906,0.914,0.933,0.973,0.933,0.832,0.758,0.981,0.981
0.696,0.595,0.917,0.675,0.993,0.954,0.257,0.472,0.595,0.696,0.917,0.99,0.84,0.901,0.356,0.257,0.998,0.833,0.833,0.973,0.939,0.779,0.643,0.97,0.97
0.489,0.536,0.776,0.765,0.999,0.997,0.212,0.324,0.536,0.489,0.776,1.0,0.657,0.961,0.53,0.182,1.0,0.85,0.789,0.996,0.869,0.762,0.803,0.999,0.999
0.459,0.506,0.739,0.678,0.99,0.995,0.175,0.435,0.506,0.459,0.739,0.984,0.67,0.991,0.494,0.28,0.95,0.799,0.964,1.0,0.823,0.747,0.913,0.993,0.993
0.645,0.612,0.899,0.705,0.993,0.984,0.104,0.306,0.612,0.645,0.899,0.984,0.759,0.939,0.41,0.181,0.993,0.866,0.827,0.989,0.951,0.676,0.612,0.993,0.993
0.641,0.459,0.826,0.776,1.0,0.987,0.53,0.407,0.459,0.641,0.826,1.0,0.889,0.906,0.495,0.237,0.991,0.802,0.893,0.955,0.929,0.902,0.748,1.0,1.0
0.518,0.51,0.777,0.752,1.0,0.981,0.236,0.449,0.51,0.518,0.777,0.997,0.731,0.944,0.526,0.249,0.996,0.813,0.865,0.988,0.879,0.826,0.83,1.0,1.0
0.46,0.719,0.876,0.599,0.997,0.999,0.226,0.245,0.719,0.46,0.876,0.999,0.629,0.961,0.498,0.206,0.995,0.8,0.881,0.998,0.881,0.758,0.8,0.997,0.997
0.628,0.581,0.877,0.789,0.986,0.927,0.25,0.544,0.581,0.628,0.877,0.982,0.789,0.944,0.53,0.229,0.982,0.871,0.865,0.951,0.932,0.882,0.747,0.996,0.996
0.588,0.576,0.853,0.652,1.0,0.992,0.243,0.314,0.576,0.588,0.853,1.0,0.772,0.931,0.51,0.221,0.981,0.863,0.875,0.992,0.889,0.808,0.792,0.998,0.998
0.773,0.523,0.929,0.653,0.991,0.982,0.07,0.288,0.523,0.773,0.929,0.989,0.852,0.904,0.523,0.07,1.0,0.815,0.787,0.985,0.894,0.708,0.828,1.0,1.0
0.602,0.484,0.814,0.804,0.995,0.961,0.242,0.437,0.484,0.602,0.814,0.999,0.779,0.945,0.628,0.232,0.978,0.884,0.862,0.981,0.873,0.86,0.793,0.999,0.999
0.66,0.595,0.899,0.733,0.985,0.922,0.302,0.485,0.595,0.66,0.899,0.996,0.85,0.902,0.5,0.249,0.993,0.833,0.86,0.952,0.956,0.802,0.677,0.993,0.993
0.629,0.551,0.863,0.462,0.965,0.999,0.412,0.385,0.551,0.629,0.863,0.988,0.808,0.882,0.357,0.231,0.999,0.863,0.783,1.0,0.831,0.808,0.783,0.991,0.991
0.672,0.602,0.908,0.639,0.999,0.969,0.39,0.431,0.602,0.672,0.908,0.986,0.866,0.96,0.478,0.191,0.969,0.829,0.926,0.966,0.947,0.802,0.75,1.0,1.0
0.53,0.479,0.767,0.634,0.968,0.999,0.323,0.38,0.479,0.53,0.767,0.989,0.705,0.917,0.487,0.216,0.998,0.812,0.849,1.0,0.792,0.8,0.856,0.996,0.996
0.674,0.462,0.849,0.863,0.967,0.894,0.324,0.354,0.462,0.674,0.849,0.993,0.859,0.976,0.748,0.236,0.981,0.83,0.903,0.911,0.9,0.931,0.802,0.997,0.997
0.541,0.502,0.786,0.711,0.998,0.997,0.195,0.342,0.502,0.541,0.786,1.0,0.725,0.942,0.502,0.195,0.997,0.853,0.819,0.999,0.892,0.75,0.814,0.999,0.999
0.597,0.679,0.909,0.631,0.998,0.978,0.182,0.387,0.679,0.597,0.909,0.99,0.749,0.962,0.435,0.182,0.982,0.877,0.859,0.988,0.916,0.679,0.749,0.999,0.999
0.546,0.371,0.716,0.749,0.99,0.991,0.314,0.534,0.371,0.546,0.716,0.991,0.749,0.878,0.497,0.279,0.991,0.873,0.83,1.0,0.804,0.8,0.793,0.998,0.998
0.474,0.444,0.709,0.805,0.998,0.994,0.27,0.38,0.444,0.474,0.709,0.993,0.677,0.95,0.572,0.133,0.996,0.876,0.8,0.998,0.872,0.785,0.757,0.999,0.999
0.609,0.436,0.794,0.717,0.997,0.997,0.529,0.35,0.436,0.609,0.794,0.993,0.881,0.901,0.586,0.237,0.977,0.794,0.934,0.982,0.853,0.905,0.857,0.966,0.966
0.52,0.496,0.77,0.813,1.0,0.987,0.327,0.328,0.496,0.52,0.77,0.998,0.732,0.944,0.614,0.257,0.997,0.823,0.848,0.988,0.874,0.856,0.793,1.0,1.0
0.657,0.486,0.849,0.707,0.999,0.984,0.205,0.378,0.486,0.657,0.849,0.997,0.808,0.915,0.395,0.205,0.994,0.906,0.769,0.993,0.929,0.657,0.688,0.965,0.965
0.536,0.468,0.764,0.769,0.996,0.976,0.221,0.381,0.468,0.536,0.764,0.999,0.807,0.929,0.588,0.265,0.948,0.906,0.895,0.99,0.842,0.827,0.813,0.989,0.989
0.626,0.603,0.886,0.648,0.997,0.93,0.289,0.567,0.603,0.626,0.886,0.987,0.838,0.926,0.38,0.206,0.979,0.844,0.897,0.974,0.96,0.736,0.689,0.997,0.997
0.61,0.478,0.816,0.675,0.993,0.999,0.34,0.222,0.478,0.61,0.816,0.999,0.784,0.909,0.452,0.275,0.998,0.763,0.887,1.0,0.797,0.777,0.896,0.979,0.979
0.611,0.548,0.851,0.626,0.996,0.982,0.224,0.417,0.548,0.611,0.851,0.99,0.754,0.868,0.513,0.279,0.996,0.816,0.743,0.996,0.897,0.776,0.806,1.0,1.0
0.566,0.617,0.863,0.674,0.998,0.992,0.262,0.495,0.617,0.566,0.863,1.0,0.696,0.938,0.432,0.192,0.998,0.754,0.821,0.998,0.85,0.763,0.876,1.0,1.0
0.585,0.598,0.863,0.475,0.97,0.996,0.442,0.389,0.598,0.585,0.863,0.995,0.801,0.897,0.322,0.098,0.997,0.739,0.825,1.0,0.869,0.73,0.777,0.999,0.999
0.569,0.569,0.84,0.703,1.0,0.98,0.256,0.441,0.569,0.569,0.84,0.999,0.771,0.91,0.484,0.256,0.993,0.851,0.844,0.994,0.91,0.771,0.761,0.993,0.993
0.409,0.507,0.711,0.76,1.0,0.985,0.06,0.541,0.507,0.409,0.711,0.994,0.67,0.961,0.554,0.043,0.941,0.881,0.927,1.0,0.872,0.734,0.857,0.974,0.974
0.512,0.512,0.774,0.745,0.994,0.99,0.34,0.557,0.512,0.512,0.774,0.993,0.708,0.907,0.502,0.233,0.98,0.935,0.78,0.997,0.835,0.845,0.751,0.999,0.999
0.569,0.576,0.843,0.592,0.983,0.999,0.387,0.297,0.576,0.569,0.843,0.99,0.758,0.914,0.466,0.19,1.0,0.773,0.83,1.0,0.863,0.773,0.914,0.98,0.98
0.554,0.582,0.839,0.739,0.998,0.971,0.26,0.487,0.582,0.554,0.839,1.0,0.768,0.915,0.471,0.173,0.994,0.88,0.807,0.987,0.927,0.795,0.698,0.995,0.995
0.57,0.513,0.81,0.672,0.997,0.998,0.318,0.31,0.513,0.57,0.81,0.997,0.783,0.929,0.51,0.215,0.988,0.864,0.851,0.997,0.896,0.782,0.776,0.998,0.998
0.557,0.573,0.835,0.616,0.983,0.998,0.336,0.29,0.573,0.557,0.835,0.99,0.717,0.944,0.419,0.156,1.0,0.866,0.761,1.0,0.866,0.761,0.717,0.996,0.996
0.573,0.447,0.776,0.791,1.0,0.993,0.253,0.214,0.447,0.573,0.776,0.995,0.729,0.946,0.616,0.29,0.997,0.776,0.791,0.987,0.791,0.924,0.804,0.999,0.999
0.297,0.429,0.585,0.874,1.0,0.978,0.297,0.525,0.429,0.297,0.585,1.0,0.65,0.975,0.608,0.279,0.942,0.874,0.931,0.994,0.862,0.85,0.879,0.984,0.984
