SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.313,-0.11,-0.202,-0.286,-0.081,-0.313,-0.16,-0.202,-0.271,-0.286,-0.136,-0.202,-0.16,-0.221,-0.255,-0.136,-0.255,-0.238,-0.182,-0.16
-0.226,-0.044,-0.226,-0.279,-0.191,-0.311,-0.061,-0.305,-0.35,-0.317,-0.172,-0.242,-0.161,-0.076,-0.151,-0.265,-0.191,-0.258,-0.025,-0.172
-0.326,0.0,-0.16,0.0,-0.293,-0.255,0.0,-0.293,-0.096,-0.443,-0.16,-0.096,-0.16,-0.211,-0.096,-0.255,-0.096,-0.443,-0.16,-0.096
-0.304,-0.072,-0.273,-0.304,-0.223,-0.286,-0.153,-0.298,-0.238,-0.266,-0.172,-0.199,-0.19,-0.122,-0.163,-0.207,-0.231,-0.266,-0.023,-0.133
-0.359,-0.072,-0.232,-0.211,-0.164,-0.242,-0.188,-0.176,-0.188,-0.278,-0.122,-0.188,-0.232,-0.2,-0.278,-0.176,-0.221,-0.325,-0.107,-0.2
-0.348,0.0,0.0,0.0,-0.197,-0.257,-0.12,0.0,-0.348,-0.257,-0.197,-0.197,-0.12,-0.197,-0.494,-0.257,-0.257,-0.257,0.0,0.0
-0.347,-0.029,-0.205,-0.329,-0.152,-0.161,-0.084,-0.18,-0.311,-0.219,-0.171,-0.101,-0.349,-0.266,-0.251,-0.229,-0.253,-0.213,-0.076,-0.097
-0.27,-0.036,-0.24,-0.32,-0.234,-0.275,-0.075,-0.227,-0.316,-0.343,-0.108,-0.185,-0.145,-0.036,-0.246,-0.24,-0.221,-0.301,-0.063,-0.127
-0.186,-0.083,-0.31,-0.226,-0.171,-0.301,-0.122,-0.292,-0.26,-0.31,-0.186,-0.213,-0.156,-0.083,-0.238,-0.238,-0.122,-0.301,-0.035,-0.26
-0.402,0.0,-0.266,-0.324,-0.14,-0.273,-0.091,-0.258,-0.235,-0.352,-0.061,-0.104,-0.14,-0.091,-0.3,-0.152,-0.129,-0.312,-0.091,-0.162
-0.221,-0.11,-0.182,-0.3,-0.182,-0.326,-0.16,-0.16,-0.271,-0.371,-0.081,-0.221,-0.202,-0.182,-0.202,-0.238,-0.286,-0.136,-0.047,-0.221
-0.181,-0.064,-0.148,-0.306,-0.262,-0.262,-0.211,-0.343,-0.343,-0.306,-0.181,-0.237,-0.181,-0.211,-0.064,-0.211,-0.148,-0.262,0.0,-0.11
-0.216,-0.083,-0.244,-0.299,-0.164,-0.273,-0.075,-0.299,-0.326,-0.338,-0.091,-0.221,-0.164,-0.098,-0.216,-0.221,-0.201,-0.288,-0.038,-0.206
-0.337,-0.307,-0.172,-0.296,-0.136,-0.248,-0.136,-0.115,-0.248,-0.285,-0.093,-0.136,-0.327,-0.093,-0.234,-0.155,-0.189,-0.317,-0.039,-0.189
-0.251,-0.141,-0.201,-0.313,-0.104,-0.251,-0.104,-0.33,-0.377,-0.294,-0.141,-0.313,-0.141,-0.104,-0.104,-0.201,-0.141,-0.294,-0.061,-0.141
-0.312,-0.086,-0.292,-0.194,-0.189,-0.296,-0.078,-0.213,-0.29,-0.2,-0.134,-0.288,-0.223,-0.127,-0.117,-0.2,-0.282,-0.266,-0.141,-0.215
-0.222,-0.12,-0.251,-0.253,-0.231,-0.164,-0.124,-0.267,-0.262,-0.325,-0.092,-0.225,-0.219,-0.206,-0.212,-0.341,-0.222,-0.215,-0.034,-0.153
-0.328,-0.022,-0.198,-0.286,-0.164,-0.347,-0.146,-0.242,-0.286,-0.313,-0.146,-0.164,-0.181,-0.155,-0.19,-0.181,-0.19,-0.286,-0.054,-0.198
-0.343,0.0,-0.232,-0.222,-0.162,-0.349,-0.123,-0.15,-0.313,-0.207,-0.102,-0.246,-0.232,-0.18,-0.222,-0.291,-0.217,-0.287,-0.086,-0.059
-0.312,-0.081,-0.223,-0.228,-0.171,-0.302,-0.12,-0.184,-0.223,-0.293,-0.139,-0.261,-0.217,-0.178,-0.214,-0.233,-0.247,-0.249,-0.139,-0.184
-0.438,0.0,-0.208,-0.208,-0.094,-0.306,-0.184,-0.208,-0.23,-0.271,-0.055,-0.184,-0.094,-0.128,-0.377,-0.184,-0.184,-0.351,0.0,-0.094
-0.248,0.0,-0.26,-0.272,-0.18,-0.195,-0.128,-0.26,-0.366,-0.358,-0.128,-0.223,-0.128,-0.109,-0.164,-0.209,-0.223,-0.283,-0.037,-0.248
